"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","360610079","1","2.3","ug/m3 LC","10","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/03/2020","AQS","360610079","1","8","ug/m3 LC","33","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/06/2020","AQS","360610079","1","6","ug/m3 LC","25","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/09/2020","AQS","360610079","1","9.1","ug/m3 LC","38","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/12/2020","AQS","360610079","1","8.2","ug/m3 LC","34","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/15/2020","AQS","360610079","1","5.9","ug/m3 LC","25","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/18/2020","AQS","360610079","1","11.1","ug/m3 LC","46","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/21/2020","AQS","360610079","1","4.2","ug/m3 LC","18","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/24/2020","AQS","360610079","1","17","ug/m3 LC","61","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/27/2020","AQS","360610079","1","2.3","ug/m3 LC","10","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/03/2020","AQS","360610079","2","7.4","ug/m3 LC","31","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/09/2020","AQS","360610079","2","9","ug/m3 LC","38","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/15/2020","AQS","360610079","2","6.1","ug/m3 LC","25","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/21/2020","AQS","360610079","2","4.4","ug/m3 LC","18","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"02/27/2020","AQS","360610079","2","2.8","ug/m3 LC","12","IS 45","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.7997","-73.93432"
"01/01/2020","AQS","360610115","3","8.6","ug/m3 LC","36","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/02/2020","AQS","360610115","3","14.5","ug/m3 LC","56","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/03/2020","AQS","360610115","3","17.5","ug/m3 LC","62","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/04/2020","AQS","360610115","3","12.5","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/05/2020","AQS","360610115","3","8.3","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/06/2020","AQS","360610115","3","11.3","ug/m3 LC","47","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/08/2020","AQS","360610115","3","11.3","ug/m3 LC","47","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/09/2020","AQS","360610115","3","10.3","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/10/2020","AQS","360610115","3","12","ug/m3 LC","50","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/11/2020","AQS","360610115","3","11.2","ug/m3 LC","47","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/12/2020","AQS","360610115","3","9.6","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/13/2020","AQS","360610115","3","11.5","ug/m3 LC","48","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/14/2020","AQS","360610115","3","12.4","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/15/2020","AQS","360610115","3","14.2","ug/m3 LC","55","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/16/2020","AQS","360610115","3","10.2","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/17/2020","AQS","360610115","3","8.8","ug/m3 LC","37","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/19/2020","AQS","360610115","3","9.5","ug/m3 LC","40","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/20/2020","AQS","360610115","3","7.2","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/21/2020","AQS","360610115","3","8.3","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/22/2020","AQS","360610115","3","9.3","ug/m3 LC","39","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/23/2020","AQS","360610115","3","19.6","ug/m3 LC","67","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/24/2020","AQS","360610115","3","17.5","ug/m3 LC","62","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/25/2020","AQS","360610115","3","6","ug/m3 LC","25","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/26/2020","AQS","360610115","3","7","ug/m3 LC","29","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/27/2020","AQS","360610115","3","8.5","ug/m3 LC","35","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/28/2020","AQS","360610115","3","7.3","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/29/2020","AQS","360610115","3","6.6","ug/m3 LC","28","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/30/2020","AQS","360610115","3","8.8","ug/m3 LC","37","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/31/2020","AQS","360610115","3","13.3","ug/m3 LC","54","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/01/2020","AQS","360610115","3","11.8","ug/m3 LC","49","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/02/2020","AQS","360610115","3","10.5","ug/m3 LC","44","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/03/2020","AQS","360610115","3","12.5","ug/m3 LC","52","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/04/2020","AQS","360610115","3","17","ug/m3 LC","61","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/05/2020","AQS","360610115","3","4.8","ug/m3 LC","20","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/06/2020","AQS","360610115","3","5.6","ug/m3 LC","23","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/07/2020","AQS","360610115","3","7.2","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/08/2020","AQS","360610115","3","11.2","ug/m3 LC","47","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/09/2020","AQS","360610115","3","11","ug/m3 LC","46","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/10/2020","AQS","360610115","3","9.4","ug/m3 LC","39","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/11/2020","AQS","360610115","3","8.6","ug/m3 LC","36","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/12/2020","AQS","360610115","3","8.9","ug/m3 LC","37","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/13/2020","AQS","360610115","3","8.1","ug/m3 LC","34","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/14/2020","AQS","360610115","3","8.1","ug/m3 LC","34","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/15/2020","AQS","360610115","3","6.9","ug/m3 LC","29","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/16/2020","AQS","360610115","3","10.9","ug/m3 LC","45","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/17/2020","AQS","360610115","3","10.3","ug/m3 LC","43","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/18/2020","AQS","360610115","3","8.7","ug/m3 LC","36","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/19/2020","AQS","360610115","3","8.1","ug/m3 LC","34","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/20/2020","AQS","360610115","3","6.6","ug/m3 LC","28","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/21/2020","AQS","360610115","3","5.8","ug/m3 LC","24","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/22/2020","AQS","360610115","3","9.3","ug/m3 LC","39","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/23/2020","AQS","360610115","3","10.6","ug/m3 LC","44","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/24/2020","AQS","360610115","3","15.6","ug/m3 LC","58","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/25/2020","AQS","360610115","3","10.7","ug/m3 LC","45","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/26/2020","AQS","360610115","3","4.9","ug/m3 LC","20","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/27/2020","AQS","360610115","3","4.8","ug/m3 LC","20","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/28/2020","AQS","360610115","3","7.1","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"02/29/2020","AQS","360610115","3","7.3","ug/m3 LC","30","Intermediate School 143","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.8495500009336","-73.935649"
"01/01/2020","AQS","360610134","1","4","ug/m3 LC","17","DIVISION STREET","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/03/2020","AQS","360610134","1","10.8","ug/m3 LC","45","DIVISION STREET","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/06/2020","AQS","360610134","1","7.7","ug/m3 LC","32","DIVISION STREET","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/09/2020","AQS","360610134","1","10.4","ug/m3 LC","43","DIVISION STREET","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"02/12/2020","AQS","360610134","1","9.5","ug/m3 LC","40","DIVISION STREET","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/01/2020","AQS","360610134","3","7.9","ug/m3 LC","33","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/02/2020","AQS","360610134","3","11.6","ug/m3 LC","48","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/03/2020","AQS","360610134","3","16","ug/m3 LC","59","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/04/2020","AQS","360610134","3","12.2","ug/m3 LC","51","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/05/2020","AQS","360610134","3","6.4","ug/m3 LC","27","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/06/2020","AQS","360610134","3","10.2","ug/m3 LC","43","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/07/2020","AQS","360610134","3","10.3","ug/m3 LC","43","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/08/2020","AQS","360610134","3","9.6","ug/m3 LC","40","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/09/2020","AQS","360610134","3","8.7","ug/m3 LC","36","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/10/2020","AQS","360610134","3","10","ug/m3 LC","42","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/11/2020","AQS","360610134","3","10","ug/m3 LC","42","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/12/2020","AQS","360610134","3","8.4","ug/m3 LC","35","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/13/2020","AQS","360610134","3","11.8","ug/m3 LC","49","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/14/2020","AQS","360610134","3","13","ug/m3 LC","53","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/15/2020","AQS","360610134","3","12","ug/m3 LC","50","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
"01/16/2020","AQS","360610134","3","8.5","ug/m3 LC","35","DIVISION STREET","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","061","New York","40.71436","-73.99518"
